epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6434,1.4532,3.24622,1.24175,0.92725,0.19055,0.5815,0.36502,1.20962,2.80977,1.00889,0.000298905,0.000298905,0.000298905
2,22.1981,1.345,1.81912,1.18379,0.86998,0.75914,0.84261,0.54818,1.22905,1.34165,1.04746,0.000582043,0.000582043,0.000582043
3,30.8678,1.29938,1.5046,1.15793,0.83585,0.7368,0.86273,0.58402,1.23555,1.1857,1.0961,0.000845182,0.000845182,0.000845182
